# K2_c03_SuPerPiG_Search -- 2015Dec18
# EPIC num, bper (hours), bpow, SNR, depth, qtran, in1, in2
205903523, 5.20235536639, 0.0006040416, 3.5101007826, 0.0027159096, 0.049531, 81.0, 85.0
205903692, 39.6851643627, 5.13791e-05, 5.44526286876, 8.16209e-05, 0.328934, 66.0, 98.0
205903713, 3.69870987458, 7.94713e-05, 3.39897265202, 0.0002245956, 0.120445, 54.0, 65.0
205903781, 8.05333725262, 0.0003245265, 4.82780551891, 0.0004944423, 0.498318, 13.0, 62.0
205903903, 4.30391060491, 2.77711e-05, 4.02200127798, 4.77019e-05, 0.477763, 82.0, 29.0
205904010, 37.2306016931, 1.56352e-05, 4.17002421404, 5.78314e-05, 0.079398, 16.0, 23.0
205904047, 3.89816118864, 0.0001894191, 4.16451147588, 0.0005415711, 0.089268, 46.0, 54.0
205904095, 47.3014521546, 1.7352e-05, 3.9837176797, 3.66005e-05, 0.191489, 60.0, 78.0
205904127, 46.3900787085, 3.09357e-05, 3.63487146207, 5.99637e-05, 0.300977, 67.0, 96.0
205904220, 18.1800001818, 0.0008424529, 4.3520394584, 0.0021489906, 0.140275, 74.0, 87.0
205904260, 7.64052112174, 1.02183e-05, 3.69997322339, 2.87855e-05, 0.140138, 62.0, 75.0
205904274, 57.7791152573, 4.36023e-05, 9.19813874497, 6.25133e-05, 0.39934, 46.0, 85.0
205904494, 47.0172455339, 2.08538e-05, 5.95073684069, 3.54742e-05, 0.473648, 55.0, 1.0
205904592, 8.29008957787, 2.38491e-05, 4.60983019548, 6.38026e-05, 0.072572, 19.0, 25.0
205904628, 59.8791937267, 1.06614e-05, 7.93431316452, 4.47559e-05, 0.060393, 16.0, 21.0
205904697, 58.4262879345, 0.0002967402, 3.58731256004, 0.0006061919, 0.272575, 48.0, 74.0
205904816, 69.1373673067, 1.50378e-05, 4.01007160752, 3.28219e-05, 0.287745, 16.0, 44.0
205904844, 3.04820468999, 3.05142e-05, 4.76016610179, 0.0001265696, 0.039617, 55.0, 58.0
205904964, 7.6442518093, 1.33957e-05, 4.87438250719, 3.06648e-05, 0.120523, 49.0, 60.0
205905024, 17.5382571503, 8.47747e-05, 5.27623681445, 0.0001632295, 0.300918, 40.0, 69.0
205905085, 4.05469855935, 1.80169e-05, 3.50933156416, 3.31074e-05, 0.420638, 60.0, 1.0
205905204, 6.22322877185, 7.57032e-05, 6.24793264382, 0.0001504472, 0.453627, 73.0, 17.0
205905261, 26.0682836968, 0.0002596008, 6.09963164895, 0.0003729963, 0.388739, 11.0, 49.0
205905303, 6.82875280512, 0.0001847752, 4.22989526019, 0.0010708363, 0.030718, 67.0, 69.0
