#epic_num, bper, bpow, depth, qtran, in1, in2
202061056, 2.6308542361, 0.0010042105, 0.0020282776, 0.430208, 7, 48
202061059, 0.1695607936, 0.0000412602, 0.0004286542, 0.009353, 59, 59
202061065, 1.0312145485, 0.0000451471, 0.0001298350, 0.140714, 31, 44
202061102, 0.3467059639, 0.0001054977, 0.0002110411, 0.489591, 51, 99
202061127, 0.2076204319, 0.0001921774, 0.0003844194, 0.490832, 51, 99
202061129, 0.1428380959, 0.0002136974, 0.0006823230, 0.110242, 38, 48
202061131, 0.2937599154, 0.0011054498, 0.0022123834, 0.518310, 88, 39
202061132, 0.2831107546, 0.0001026025, 0.0007650293, 0.018323, 54, 55
202061137, 0.2828038088, 0.0003657824, 0.0028896312, 0.016289, 55, 56
202061142, 1.8908850227, 0.0001435045, 0.0013619614, 0.011228, 30, 30
202061143, 1.4658424550, 0.0001961341, 0.0019816473, 0.009894, 55, 55
202061144, 0.2789328820, 0.0004504593, 0.0009010727, 0.490754, 28, 76
202061162, 1.1140119583, 0.0001552145, 0.0003128077, 0.438456, 70, 13
202061164, 0.8432044975, 0.0015176619, 0.0030450765, 0.460015, 24, 69
202061197, 0.9845088451, 0.0000516630, 0.0001212193, 0.238545, 97, 20
202061199, 1.9919649379, 0.0001351730, 0.0003793273, 0.149265, 58, 72
202061204, 0.8946850394, 0.0001247419, 0.0002495181, 0.491717, 31, 79
202061205, 1.4909786769, 0.0001737657, 0.0003477334, 0.517041, 34, 85
202061207, 1.6856035064, 0.0000576641, 0.0001158925, 0.450715, 52, 97
202061208, 1.9590517241, 0.0000621770, 0.0001439075, 0.248361, 40, 64
202061216, 2.2496625169, 0.0000737498, 0.0001476099, 0.480671, 41, 89
202061223, 0.3720235142, 0.0001019680, 0.0002040270, 0.514931, 24, 75
202061225, 1.9708935611, 0.0000218241, 0.0001001360, 0.050000, 46, 51
202061226, 1.7032137179, 0.0010043245, 0.0035116712, 0.089871, 95, 7
202061236, 0.9071307609, 0.0005403861, 0.0010972795, 0.413598, 70, 10
202061239, 1.2543698252, 0.0000285417, 0.0001005949, 0.088299, 66, 74
202061242, 1.2001200240, 0.0003590212, 0.0007185597, 0.481031, 9, 55
202061244, 0.3317151388, 0.0005323218, 0.0010673581, 0.464363, 43, 88
202061245, 1.8881475420, 0.0000707800, 0.0001538876, 0.303915, 52, 83
202061247, 0.7500937711, 0.0015309383, 0.0030647831, 0.521770, 79, 30
202061248, 0.3264837449, 0.0003792977, 0.0007588571, 0.513130, 78, 29
202061249, 0.7787585347, 0.0015830977, 0.0031674021, 0.513800, 94, 44
202061250, 1.0461028771, 0.0002793741, 0.0005597147, 0.470630, 64, 11
202061251, 0.7750561972, 0.0001159319, 0.0002347612, 0.421687, 19, 60
202061252, 1.9738764230, 0.0000687206, 0.0002126578, 0.118459, 22, 32
202061253, 1.2330236764, 0.0009601019, 0.0020187512, 0.345688, 30, 64
202061255, 1.1699754281, 0.0000612524, 0.0002402799, 0.069866, 70, 76
202061263, 0.6173111353, 0.0000247583, 0.0000496133, 0.468794, 20, 66
202061279, 0.5883495146, 0.0000620273, 0.0001398988, 0.268871, 24, 50
202061281, 1.9738764230, 0.0000572300, 0.0001993353, 0.090645, 47, 55
202061287, 0.3786113670, 0.0002860029, 0.0005723850, 0.518195, 59, 10
202061288, 0.8388657401, 0.0017223896, 0.0034536787, 0.464129, 45, 91
202061293, 0.8117169531, 0.0006686348, 0.0013394423, 0.471533, 50, 96
202061296, 0.6949380285, 0.0005805827, 0.0011614631, 0.511322, 7, 56
202061312, 1.9561134659, 0.0000538110, 0.0001357654, 0.195198, 43, 62
202061315, 0.7303515777, 0.0070053570, 0.0144832426, 0.373324, 27, 64
202061316, 0.1857663940, 0.0011609971, 0.0113760321, 0.010526, 50, 50
202061317, 0.3242918919, 0.0266738268, 0.0628790569, 0.235336, 28, 51
202061318, 0.2240638795, 0.0106621370, 0.1034891235, 0.010730, 4, 4
202061320, 0.2224207732, 0.0034509292, 0.0079342350, 0.253371, 86, 10
202061321, 0.7016677972, 0.0162116781, 0.0641858791, 0.068484, 40, 46
202061329, 0.6310508047, 0.0000464737, 0.0000934538, 0.448023, 42, 86
202061333, 0.1539855444, 0.0003374813, 0.0010136327, 0.126973, 85, 97
202061336, 1.2260688302, 0.0000286981, 0.0000603448, 0.345615, 24, 57
202061338, 0.1535685214, 0.0001357405, 0.0004463399, 0.103123, 23, 32
202061349, 2.6740060617, 0.0000527021, 0.0001054755, 0.518382, 58, 9
202061353, 0.6894277178, 0.0022875410, 0.0046000266, 0.448000, 54, 98
202061363, 1.3775889782, 0.0000668468, 0.0001608117, 0.222139, 48, 70
202061743, 0.6594486458, 0.0001710147, 0.0003433960, 0.455439, 47, 92
202061771, 0.1697815259, 0.0028085129, 0.0062304444, 0.283657, 89, 16
202061772, 0.6541564899, 0.0012936293, 0.0026549168, 0.387841, 94, 32
202061773, 1.0120103910, 0.0005922797, 0.0014011791, 0.232935, 27, 49
202061774, 0.5018654531, 0.0001496970, 0.0008516472, 0.031915, 64, 66
202061775, 0.7274998181, 0.0007521862, 0.0028227868, 0.076923, 76, 83
202061786, 0.3664829996, 0.0002914171, 0.0029628247, 0.009770, 51, 51
202061789, 0.8319097010, 0.0017116546, 0.0035144471, 0.386872, 69, 7
202061790, 0.5758797443, 0.0010382234, 0.0021283914, 0.390210, 28, 66
202061791, 0.1995516292, 0.0008863033, 0.0017761476, 0.468443, 52, 98
202061794, 0.3038901834, 0.0005055065, 0.0026112450, 0.038997, 90, 93
202061795, 0.8576207222, 0.0012456184, 0.0026116466, 0.349930, 48, 83
202061796, 0.2915273674, 0.0036704034, 0.0073573602, 0.466478, 29, 75
202061797, 0.6706387355, 0.0035544641, 0.0071214323, 0.470383, 34, 80
202061798, 0.1308963808, 0.0007123677, 0.0014317417, 0.450596, 2, 45
202061799, 0.6277098853, 0.0006036675, 0.0012073349, 0.500000, 72, 21
202061800, 1.2237679504, 0.0060938664, 0.0127500653, 0.353147, 48, 81
